Id	Name	Enroll	Score	Certificate
1	Levey	+	167.524	11.38
2	Mathilde	-	181.911	10.68
3	Serilda	-	160.484	10.12
4	Jethro	-	129.37	10.13
5	Cleavland	+	126.687	10.46
6	Jillane	-	165.589	11.27
7	Lay	+	125.137	12.7
8	Presber	-	173.783	9.87
9	Celestine	+	182.359	11.49
10	Urania	-	118.891	12
11	Jacqui	+	142.189	11.44
12	Bivins	-	136.639	10.35
13	Gaynor	+	145.012	9.26
14	Schenck	+	166.956	12.99
15	Maryanne	-	102.518	9.2
16	Lia	-	131.458	9.83
17	Aaberg	+	127.753	10.11
18	Stefa	+	180.698	9.2
19	Schwejda	+	175.695	9.44
20	Braun	+	128.237	10.14
21	Ortrude	-	101.125	9.97
22	Clarissa	+	170.666	9.25
23	Paton	-	161.424	10.9
24	Mitzi	+	166.111	13
25	Frodi	-	192.381	12.38
26	Ivens	+	200.584	11.35
27	Dominy	+	157.023	11.85
28	Ranjiv	+	114.867	12.67
29	Bobbee	-	153.918	12.16
30	Hartnett	-	172.525	9.39
31	Radu	-	162.944	11.58
32	Willie	-	109.134	9.73
33	Pattin	+	126.735	11.95
34	Tound	+	105.024	10.23
35	Ioab	+	162.907	11.48
36	Stacy	-	165.099	10.53
37	Irmine	-	137.582	11.71
38	Larochelle	-	195.25	12.11
39	Zeeba	+	175.479	12.67
40	Brodench	+	100.204	12.85
41	Rodmann	+	122.049	10.31
42	Septima	-	154.753	10.64
43	Eliathas	-	119.909	11.38
44	Parette	+	177.696	12.45
45	Dermott	+	192.122	9.26
46	Parette	+	143.835	10.56
47	Douglass	-	113.405	12.54
48	Raul	+	153.607	12.3
49	Sophronia	+	161.41	9.24
50	Sundin	+	127.11	10.16
51	Sparhawk	+	157.795	12.27
52	Garlinda	-	140.25	9.03
53	Harned	+	141.542	9.56
54	Mintz	+	106.031	10.27
55	Fairweather	+	164.244	11.69
56	Vastah	-	142.405	12.15
57	Kazimir	+	128.097	9.55
58	Harl	-	166.359	10.43
59	Eckblad	+	175.618	9.84
60	Scammon	-	170.25	10.86
61	Vittoria	-	172.436	11.9
62	Muriel	-	197.949	12.75
63	Fleeta	+	159.077	11.45
64	Standing	+	115.716	10.72
65	Talia	-	141.833	10.94
66	Briney	-	147.914	9.5
67	Roche	-	120.423	9.19
68	Reneta	+	112.052	12.05
69	Gaynor	-	189.708	9.19
70	Marden	+	177.76	12.87
71	Swigart	-	164.257	12.71
72	Natica	+	127.891	9.65
73	Silvan	+	150.254	9.45
74	Zaslow	+	198.147	10.02
75	My	+	104.01	9.56
76	Olnee	+	190.953	11.16
77	Jillane	-	136.935	11.84
78	Adamsen	-	196.012	10.98
79	Stanwood	-	140.185	12.85
80	Seessel	-	190.825	11.31
81	Belldas	+	144.492	9.13
82	Herrera	+	120.589	12.2
83	Codding	-	184.155	11.22
84	Sawtelle	+	193.354	11.49
85	Roche	+	167.343	12.81
86	Ellord	-	185.718	12.84
87	Yorick	-	155.08	11.61
88	Mathilde	-	150.668	9.34
89	Elephus	+	157.727	11.65
90	Chabot	-	109.636	11.06
91	Scammon	-	121.615	9.97
92	Berriman	-	154.487	11.53
93	Riva	-	111.914	9.35
94	Hurley	-	140.055	11.41
95	Egbert	+	106.187	12.04
96	Concha	-	148.556	12.81
97	Giule	+	156.806	12.5
98	Rona	+	199.893	12.04
99	Ahab	-	134.967	11.01
100	Pacorro	+	159.901	10.77
101	Melleta	+	198.126	11.91
102	Whiffen	+	150.712	9.01
103	Curren	-	157.177	10.4
104	Kylander	-	169.045	9.73
105	Bethany	+	147.065	11.42
106	Karna	+	140.374	12.43
107	Therine	+	150.081	9.32
108	Emmy	-	176.071	9.41
109	Stover	-	158.759	10.99
110	Fennessy	-	186.625	9.11
111	Cassius	+	161.542	10.25
112	Bahr	-	103.807	9.88
113	Mich	+	171.199	12.22
114	Leler	-	177.109	11.3
115	Rolf	-	155.8	11.11
116	Granoff	-	183.563	9.75
117	Lea	+	104.445	11.67
118	Henrie	-	105.623	11.43
119	Wu	-	124.865	9.19
120	Lane	-	135.841	10.97
121	Ephrem	+	142.933	11.23
122	Simmonds	-	114.441	10.23
123	Turne	+	128.334	12.63
124	Milde	+	149.271	12.86
125	Ranjiv	-	141.986	12.46
126	Brackely	-	200.303	9.67
127	Blase	+	147.765	12.1
128	Lipson	+	143.691	9.59
129	Weitman	+	146.77	9.06
130	Amand	+	112.425	10.32
131	Read	-	163.087	9.35
132	Hebner	-	200.783	9.81
133	Gherardo	+	106.362	10.67
134	Garlinda	-	100.232	9.84
135	Joni	-	151.227	9.58
136	Macey	-	161.89	11.19
137	Marlie	+	131.992	10.44
138	Natalia	+	141.497	12.04
139	Yuille	-	139.083	12.59
140	Suzetta	+	107.113	11.77
141	Marcellus	-	126.037	11.64
142	Diogenes	-	107.488	9.56
143	Lumbard	-	188.966	10.93
144	Palocz	+	128.639	12.14
145	Carri	+	100.375	11.21
146	Nedrud	+	107.98	12.68
147	Corilla	-	125.718	10.98
148	Juliet	+	184.179	10.33
149	Gillan	-	167.437	12.67
150	Sammons	-	138.36	9.13
151	Felecia	+	184.618	9.33
152	Allina	+	188.487	9.04
153	Philipp	-	200.886	11.62
154	Kunin	-	141.248	11.65
155	Phaidra	-	161.254	12.79
156	Brunell	-	139.596	11.85
157	Manolo	-	185.469	10.54
158	Sparhawk	+	151.161	12.8
159	Gusella	+	155.795	10.23
160	Daniele	+	120.063	12.01
161	Ephrem	-	185.317	12.37
162	Pearse	+	106.306	9.24
163	Judye	+	147.693	9.4
164	Martsen	-	105.499	11.8
165	Faust	-	198.409	11.67
166	Moseley	+	116.726	11.43
167	Lacombe	-	147.805	11.98
168	Gahl	-	111.481	11.7
169	Rooney	-	195.542	11.02
170	Riordan	-	110.185	11.92
171	Prouty	+	127.254	11.41
172	Dielu	+	194.678	12.67
173	Pulsifer	-	149.809	9.58
174	Gusella	-	169.461	10.13
175	Brady	+	182.888	12.37
176	Maryanne	+	175.784	10.3
177	Lesley	-	148.88	9.65
178	Schonfeld	-	148.66	11.55
179	Kenney	-	197.287	10.23
180	Chandler	-	154.064	10
181	Brackely	+	176.321	10.31
182	Fillbert	-	179.106	9.74
183	Woodberry	-	179.973	12.46
184	Rosalba	-	109.127	9.59
185	Barney	+	168.393	12.86
186	Philoo	-	121.638	11.32
187	Killigrew	+	129.224	11.19
188	Maroney	-	186.431	10.41
189	Bonucci	-	174.707	12.2
190	Sawtelle	-	134.07	11.52
191	Raseda	-	188.647	12.49
192	Mintz	-	189.758	11.72
193	Faria	+	193.141	9.11
194	Kaete	-	199.361	10.93
195	Melleta	+	117.426	10.97
196	Sadowski	+	132.745	9.9
197	Allys	-	132.9	11.65
198	Keily	+	164.048	10.85
199	Burnside	+	109.914	9.42
200	Means	-	165.845	9.16
201	Vacuva	-	170.533	9.69
202	Juliet	+	118.991	12.44
203	Ioab	+	180.153	10.13
204	Winthorpe	-	136.289	12.59
205	Roumell	-	191.564	12.52
206	Bakerman	-	142.941	10.76
207	Klemperer	+	200.632	10.87
208	Sparhawk	+	160.994	11.43
209	Hubert	-	148.584	11.86
210	Boycey	+	157.874	9.39
211	Caitlin	+	164.684	11.25
212	Maples	-	105.307	9.74
213	Ingra	-	190.689	12.06
214	Grayce	-	161.441	10.3
215	Isacco	+	134.886	9.14
216	Meter	-	150.385	9.56
217	Ietta	+	109.969	12.03
218	Marijo	+	131.823	12.59
219	Alcott	-	112.147	9.97
220	Alfons	+	142.483	10
221	Darian	-	157.773	12.81
222	Timon	+	169.76	9.65
223	Schenck	+	111.291	10.37
224	Persse	-	107.655	12.09
225	Harned	-	190.133	12.58
226	Ricarda	+	142.017	10.36
227	Cosenza	-	189.259	9.04
228	Camden	+	191.602	10.93
229	Monk	+	107.029	10.8
230	Chick	-	151.121	12.87
231	Socha	+	110.846	12.81
232	Susannah	+	176.563	9.95
233	Glovsky	-	145.779	11.73
234	Pelagias	-	163.885	11.04
235	Melony	-	157.85	10.84
236	Quinn	-	126.903	11.23
237	Shama	-	100.945	11.46
238	Kristi	+	181.469	11.22
239	Parsaye	+	141.488	12.17
240	Briney	-	150.311	9.94
241	Franza	-	116.542	11.65
242	My	+	104.503	11.79
243	Halla	-	187.12	9.53
244	Beebe	-	161.081	11.92
245	Dyche	+	124.364	10.24
246	Virgin	-	192.068	10.95
247	Bartlett	+	173.396	9.94
248	Sophronia	-	185.059	12.31
249	Infield	+	191.613	10.17
250	Prober	+	144.069	12.79
251	Hebner	-	124.618	10.46
252	Emerson	-	179.491	10.4
253	Maryanne	-	177.46	9.28
254	Roumell	+	150.138	12.45
255	Timon	+	112.333	10.69
256	Roumell	+	188.357	12.87
257	Hirsch	+	159.754	10.06
258	Janene	-	130.119	10
259	Melleta	+	148.422	12.39
260	McCutcheon	+	198.21	9.52
261	Orelee	-	129.055	9.51
262	Presber	-	147.957	9.76
263	Nedrud	+	146.285	10.49
264	Ludewig	-	123.468	9.63
265	Waldron	-	143.708	9.18
266	Naashom	+	154.514	11.04
267	Edison	+	149.289	9.1
268	Carolin	-	139.254	11.01
269	McLaughlin	-	160.104	12.66
270	Kalinda	-	127.507	12.52
271	Persse	-	156.355	9.93
272	Marden	-	194.25	10.13
273	Oriana	-	176.688	11.38
274	Hanleigh	-	198.145	11.92
275	O'Rourke	-	158.67	10.08
276	Lesley	-	182.644	10.31
277	Atcliffe	+	101.094	12.22
278	Fax	+	195.313	9.13
279	Alarise	-	185.047	9.45
